"노선_ID","정류장_ID","링크_구간거리(m)","정류장_순서"
"241352007","218001280","580.000","8"
"241352007","218001279","404.000","19"
"241352007","218001269","430.000","9"
"241352007","218001268","265.000","58"
"241352007","218001258","290.000","24"
"241352007","218001187","130.000","63"
"241352007","218001185","876.000","56"
"241352007","218001182","212.000","4"
"241352007","218001147","377.000","43"
"241352007","218001106","145.000","5"
"241352007","218001105","289.000","62"
"241352007","218001104","452.000","57"
"241352007","218001103","342.000","6"
"241352007","218001102","308.000","61"
"241352007","218001096","421.000","11"
"241352007","218001075","1049.000","48"
"241352007","218000781","520.000","47"
"241352007","218000665","121.000","3"
"241352007","218000664","301.000","64"
"241352007","218000659","221.000","52"
"241352007","218000657","751.000","54"
"241352007","218000656","792.000","14"
"241352007","218000655","784.000","55"
"241352007","218000654","558.000","13"
"241352007","218000639","0.000","1"
"241352007","218000638","262.000","65"
"241352007","218000633","370.000","18"
"241352007","218000632","457.000","49"
"241352007","218000578","371.000","50"
"241352007","218000577","289.000","17"
"241352007","218000576","276.000","51"
"241352007","218000575","718.000","16"
"241352007","218000561","677.000","15"
"241352007","218000560","416.000","53"
"241352007","218000550","314.000","12"
"241352007","218000519","298.000","2"
"241352007","218000512","1064.000","20"
"241352007","218000465","271.000","10"
"241352007","218000406","510.000","21"
"241352007","218000405","240.000","46"
"241352007","218000404","360.000","23"
"241352007","218000403","340.000","44"
"241352007","218000382","553.000","41"
"241352007","218000381","223.000","26"
"241352007","218000380","193.000","42"
"241352007","218000379","359.000","25"
"241352007","218000284","670.000","59"
"241352007","218000275","273.000","7"
"241352007","218000274","320.000","60"
"241352007","111000220","473.000","35"
"241352007","111000007","793.000","32"
"241352007","111000006","739.000","36"
"241352007","111000005","503.000","31"
"241352007","111000004","391.000","37"
"241352007","111000003","587.000","30"
"241352007","111000002","689.000","38"
"241352007","111000001","1034.000","29"
"241350004","277104733","86.000","3"
"241350004","277104732","50.000","2"
"241350004","277104731","0.000","1"
"241350004","222001891","617.000","29"
"241350004","222001889","814.000","23"
"241350004","222001854","242.000","11"
"241350004","222001853","233.000","43"
"241350004","222001852","220.000","44"
"241350004","222001851","353.000","10"
"241350004","222001850","310.000","9"
"241350004","222001722","284.000","12"
"241350004","222001720","217.000","40"
"241350004","222001719","325.000","14"
"241350004","222001712","294.000","42"
"241350004","222001656","552.000","26"
"241350004","222001647","210.000","18"
"241350004","222001646","360.000","36"
"241350004","222001566","430.000","28"
"241350004","222001539","474.000","27"
"241350004","222001534","400.000","34"
"241350004","222001533","181.000","21"
"241350004","222001522","247.000","16"
"241350004","222001521","340.000","38"
"241350004","222001513","181.000","25"
"241350004","222001511","851.000","24"
"241350004","222001508","734.000","30"
"241350004","222001505","233.000","32"
"241350004","222001503","552.000","33"
"241350004","222001502","318.000","22"
"241350004","222001499","318.000","35"
"241350004","222001498","190.000","20"
"241350004","222001493","210.000","37"
"241350004","222001492","340.000","17"
"241350004","222001489","294.000","15"
"241350004","222001488","312.000","39"
"241350004","222001487","248.000","13"
"241350004","222001486","312.000","41"
"241350004","222001449","300.000","46"
"241350004","222001448","370.000","8"
"241350004","222001030","280.000","19"
"241350004","222000976","753.000","6"
"241350004","222000975","920.000","7"
"241350004","222000974","350.000","47"
"241350004","222000973","990.000","48"
"241350004","222000828","410.000","45"
"241350004","222000587","269.000","31"
"241350004","110000655","283.000","4"
"241350004","110000650","420.000","52"
"241350004","110000648","970.000","5"
"241350004","110000645","200.000","51"
"241350004","110000644","240.000","50"
"241350004","110000643","710.000","49"
"241350002","277104733","86.000","3"
"241350002","277104732","50.000","2"
"241350002","277104731","0.000","1"
"241350002","277104594","190.000","25"
"241350002","277104593","173.000","24"
"241350002","277104562","228.000","28"
"241350002","277104561","190.000","27"
"241350002","222001866","215.000","26"
"241350002","222001863","292.000","43"
"241350002","222001862","263.000","7"
"241350002","222001861","208.000","42"
"241350002","222001860","163.000","32"
"241350002","222001859","185.000","17"
"241350002","222001725","474.000","23"
"241350002","222001710","696.000","21"
"241350002","222001678","130.000","15"
"241350002","222001677","260.000","34"
"241350002","222001676","400.000","13"
"241350002","222001675","90.000","36"
"241350002","222001454","100.000","14"
"241350002","222001268","204.000","8"
"241350002","222001267","220.000","41"
"241350002","222001115","980.000","40"
"241350002","222001110","250.000","9"
"241350002","222001059","130.000","35"
"241350002","222000829","2750.000","6"
"241350002","222000827","440.000","12"
"241350002","222000826","430.000","37"
"241350002","222000625","250.000","16"
"241350002","222000624","153.000","18"
"241350002","222000623","250.000","19"
"241350002","222000622","150.000","20"
"241350002","222000602","291.000","29"
"241350002","222000601","120.000","30"
"241350002","222000600","240.000","31"
"241350002","222000599","175.000","33"
"241350002","222000598","450.000","38"
"241350002","222000597","360.000","39"
"241350002","222000596","1000.000","10"
"241350002","222000595","350.000","11"
"241350002","222000307","318.000","22"
"241350002","110000655","283.000","4"
"241350002","110000650","420.000","46"
"241350002","110000646","598.000","5"
"241350002","110000645","200.000","45"
"241350002","110000644","2630.000","44"
"241347006","222001970","321.000","44"
"241347006","222001880","349.000","54"
"241347006","222001880","0.000","1"
"241347006","222001721","352.000","2"
"241347006","222001651","389.000","43"
"241347006","222001650","401.000","13"
"241347006","222001647","210.000","5"
"241347006","222001646","360.000","50"
